"Ranking","ID","Problema","Pontuação Total","Percentual (%)","A Natureza da Dor e o Comportamento (%)","Tamanho de Mercado e Potencial de Escala (%)","Timing e Why Now (%)","Validação e Execução Lean (%)","Monetização e Viabilidade de Negócio (%)","Defensibilidade e Competição (%)","Riscos Fatais (Red Flags) (%)"
"1","293","Gargalos Perigosos Nas Novas Farmácias De Manipulação Em Escala Digital Perante O Risco Da Mistura Contaminada Nos Transportes Regionais Constantes Dos Remédios Da Era ""Customizada"".","1041.0","55.1","58.5","56.5","55.5","56.0","52.3","50.0","51.9"
"2","281","Geração Massiva de Identidades ""Synthetic-Twins"" No Setor Médico e Financeiro Para Roubo","1016.0","53.8","58.3","52.1","55.5","52.0","50.0","54.0","52.5"
"3","296","Falhas De Monitoramento Nos Repasses Financeiros E Governança Do Ecossistema De Transição Do Terceiro Setor (ONGs Climáticas)","1014.0","53.7","55.9","52.6","54.1","55.3","51.2","54.0","50.0"
"4","280","Conflito Estrutural Nos Contratos Imobiliários Por Condicionamento Do Trabalho Híbrido","1013.0","53.6","53.4","55.6","57.7","52.3","51.2","54.0","50.0"
"5","416","Caos de Compliance na Balcanização Regulatória","1013.0","53.6","54.6","56.2","56.4","51.0","50.0","52.0","54.4"
"6","183","Risco de Colapso Cambial em Caixas Corporativos de Emergentes","1012.0","53.5","55.1","53.2","57.7","50.0","53.8","51.5","53.1"
"7","238","O Perigo Iminente do Mercado Negro Farmacêutico Sintético","1012.0","53.5","52.2","57.1","58.2","51.7","51.2","54.0","50.0"
"8","241","Colapso do Valor de Revenda de Veículos Elétricos","1011.0","53.5","53.9","55.0","57.7","51.0","51.9","50.0","55.0"
"9","411","Morosidade no Licenciamento de Minerais Críticos","1010.0","53.4","51.7","52.1","53.6","55.3","53.5","56.0","53.8"
"10","177","Bloqueio Crítico na Gestão por Fragmentação de ""Cidades Inteligentes""","1008.0","53.3","52.4","55.0","51.8","51.0","53.1","55.5","56.2"
"11","307","Descompasso entre Criptoeconomia e Tributação Inflacionária no Sul Global","1008.0","53.3","50.7","57.4","57.3","51.0","51.2","52.0","55.6"
"12","330","Conflito Sistêmico #31: A Interseção Geopolítica Brasileira x Saúde Mental da Geração Z","1006.0","53.2","54.9","52.1","60.0","50.0","51.9","52.0","51.9"
"13","337","Conflito Sistêmico #38: A Interseção Geopolítica Brasileira x Saúde Mental da Geração Z","1006.0","53.2","54.9","52.1","60.0","50.0","51.9","52.0","51.9"
"14","344","Conflito Sistêmico #45: A Interseção Geopolítica Brasileira x Saúde Mental da Geração Z","1006.0","53.2","54.9","52.1","60.0","50.0","51.9","52.0","51.9"
"15","351","Conflito Sistêmico #52: A Interseção Geopolítica Brasileira x Saúde Mental da Geração Z","1006.0","53.2","54.9","52.1","60.0","50.0","51.9","52.0","51.9"
"16","358","Conflito Sistêmico #59: A Interseção Geopolítica Brasileira x Saúde Mental da Geração Z","1006.0","53.2","54.9","52.1","60.0","50.0","51.9","52.0","51.9"
"17","365","Conflito Sistêmico #66: A Interseção Geopolítica Brasileira x Saúde Mental da Geração Z","1006.0","53.2","54.9","52.1","60.0","50.0","51.9","52.0","51.9"
"18","372","Conflito Sistêmico #73: A Interseção Geopolítica Brasileira x Saúde Mental da Geração Z","1006.0","53.2","54.9","52.1","60.0","50.0","51.9","52.0","51.9"
"19","379","Conflito Sistêmico #80: A Interseção Geopolítica Brasileira x Saúde Mental da Geração Z","1006.0","53.2","54.9","52.1","60.0","50.0","51.9","52.0","51.9"
"20","386","Conflito Sistêmico #87: A Interseção Geopolítica Brasileira x Saúde Mental da Geração Z","1006.0","53.2","54.9","52.1","60.0","50.0","51.9","52.0","51.9"
"21","393","Conflito Sistêmico #94: A Interseção Geopolítica Brasileira x Saúde Mental da Geração Z","1006.0","53.2","54.9","52.1","60.0","50.0","51.9","52.0","51.9"
"22","462","Epidemia de Ansiedade Induzida por Telas e Vidas Virtuais","1006.0","53.2","52.9","56.2","53.6","51.7","51.9","52.0","53.8"
"23","317","Cegueira Estratégica na Coleta de Dados Geológicos do Fundo Oceânico Sul-Atlântico","1005.0","53.2","53.7","54.1","55.5","51.0","50.0","54.0","55.0"
"24","446","Gargalos Burocráticos para a Empresa de Uma Pessoa Só","1004.0","53.1","54.9","53.8","55.9","50.0","51.9","52.0","52.5"
"25","15","Complexidade regulatória para empresas em múltiplos blocos","1003.0","53.1","54.6","51.5","56.4","51.0","51.9","52.0","55.0"
"26","311","Vácuo de Proteção no Descarte de Dispositivos Médicos Injetáveis Domésticos","1003.0","53.1","53.2","54.7","57.7","50.0","50.0","52.0","55.0"
"27","331","Conflito Sistêmico #32: A Interseção Mudanças Climáticas x Fuga de Cérebros e Talentos","1002.0","53.0","55.9","52.1","57.7","50.0","51.9","52.0","50.0"
"28","332","Conflito Sistêmico #33: A Interseção Deep Tech (Hardware) x Distorção Sociocultural de Algoritmos","1002.0","53.0","54.9","53.2","57.7","50.0","51.9","52.0","50.0"
"29","338","Conflito Sistêmico #39: A Interseção Mudanças Climáticas x Fuga de Cérebros e Talentos","1002.0","53.0","55.9","52.1","57.7","50.0","51.9","52.0","50.0"
"30","339","Conflito Sistêmico #40: A Interseção Deep Tech (Hardware) x Distorção Sociocultural de Algoritmos","1002.0","53.0","54.9","53.2","57.7","50.0","51.9","52.0","50.0"
"31","345","Conflito Sistêmico #46: A Interseção Mudanças Climáticas x Fuga de Cérebros e Talentos","1002.0","53.0","55.9","52.1","57.7","50.0","51.9","52.0","50.0"
"32","346","Conflito Sistêmico #47: A Interseção Deep Tech (Hardware) x Distorção Sociocultural de Algoritmos","1002.0","53.0","54.9","53.2","57.7","50.0","51.9","52.0","50.0"
"33","352","Conflito Sistêmico #53: A Interseção Mudanças Climáticas x Fuga de Cérebros e Talentos","1002.0","53.0","55.9","52.1","57.7","50.0","51.9","52.0","50.0"
"34","353","Conflito Sistêmico #54: A Interseção Deep Tech (Hardware) x Distorção Sociocultural de Algoritmos","1002.0","53.0","54.9","53.2","57.7","50.0","51.9","52.0","50.0"
"35","359","Conflito Sistêmico #60: A Interseção Mudanças Climáticas x Fuga de Cérebros e Talentos","1002.0","53.0","55.9","52.1","57.7","50.0","51.9","52.0","50.0"
"36","360","Conflito Sistêmico #61: A Interseção Deep Tech (Hardware) x Distorção Sociocultural de Algoritmos","1002.0","53.0","54.9","53.2","57.7","50.0","51.9","52.0","50.0"
"37","366","Conflito Sistêmico #67: A Interseção Mudanças Climáticas x Fuga de Cérebros e Talentos","1002.0","53.0","55.9","52.1","57.7","50.0","51.9","52.0","50.0"
"38","367","Conflito Sistêmico #68: A Interseção Deep Tech (Hardware) x Distorção Sociocultural de Algoritmos","1002.0","53.0","54.9","53.2","57.7","50.0","51.9","52.0","50.0"
"39","373","Conflito Sistêmico #74: A Interseção Mudanças Climáticas x Fuga de Cérebros e Talentos","1002.0","53.0","55.9","52.1","57.7","50.0","51.9","52.0","50.0"
"40","374","Conflito Sistêmico #75: A Interseção Deep Tech (Hardware) x Distorção Sociocultural de Algoritmos","1002.0","53.0","54.9","53.2","57.7","50.0","51.9","52.0","50.0"
"41","380","Conflito Sistêmico #81: A Interseção Mudanças Climáticas x Fuga de Cérebros e Talentos","1002.0","53.0","55.9","52.1","57.7","50.0","51.9","52.0","50.0"
"42","381","Conflito Sistêmico #82: A Interseção Deep Tech (Hardware) x Distorção Sociocultural de Algoritmos","1002.0","53.0","54.9","53.2","57.7","50.0","51.9","52.0","50.0"
"43","387","Conflito Sistêmico #88: A Interseção Mudanças Climáticas x Fuga de Cérebros e Talentos","1002.0","53.0","55.9","52.1","57.7","50.0","51.9","52.0","50.0"
"44","388","Conflito Sistêmico #89: A Interseção Deep Tech (Hardware) x Distorção Sociocultural de Algoritmos","1002.0","53.0","54.9","53.2","57.7","50.0","51.9","52.0","50.0"
"45","394","Conflito Sistêmico #95: A Interseção Mudanças Climáticas x Fuga de Cérebros e Talentos","1002.0","53.0","55.9","52.1","57.7","50.0","51.9","52.0","50.0"
"46","395","Conflito Sistêmico #96: A Interseção Deep Tech (Hardware) x Distorção Sociocultural de Algoritmos","1002.0","53.0","54.9","53.2","57.7","50.0","51.9","52.0","50.0"
"47","1","Estresse hídrico crônico em megacidades","1001.0","53.0","55.6","54.4","51.8","52.7","52.3","50.0","50.0"
"48","260","Falha na Manutenção Cívica por Redes Sociais Polarizadas","1001.0","53.0","53.9","53.5","54.1","51.0","53.5","56.0","46.9"
"49","328","Conflito Sistêmico #29: A Interseção IA Agêntica x Clima e Transição Energética","1001.0","53.0","54.9","52.1","57.7","50.0","51.9","52.0","51.9"
"50","335","Conflito Sistêmico #36: A Interseção IA Agêntica x Clima e Transição Energética","1001.0","53.0","54.9","52.1","57.7","50.0","51.9","52.0","51.9"
"51","342","Conflito Sistêmico #43: A Interseção IA Agêntica x Clima e Transição Energética","1001.0","53.0","54.9","52.1","57.7","50.0","51.9","52.0","51.9"
"52","349","Conflito Sistêmico #50: A Interseção IA Agêntica x Clima e Transição Energética","1001.0","53.0","54.9","52.1","57.7","50.0","51.9","52.0","51.9"
"53","356","Conflito Sistêmico #57: A Interseção IA Agêntica x Clima e Transição Energética","1001.0","53.0","54.9","52.1","57.7","50.0","51.9","52.0","51.9"
"54","363","Conflito Sistêmico #64: A Interseção IA Agêntica x Clima e Transição Energética","1001.0","53.0","54.9","52.1","57.7","50.0","51.9","52.0","51.9"
"55","370","Conflito Sistêmico #71: A Interseção IA Agêntica x Clima e Transição Energética","1001.0","53.0","54.9","52.1","57.7","50.0","51.9","52.0","51.9"
"56","377","Conflito Sistêmico #78: A Interseção IA Agêntica x Clima e Transição Energética","1001.0","53.0","54.9","52.1","57.7","50.0","51.9","52.0","51.9"
"57","384","Conflito Sistêmico #85: A Interseção IA Agêntica x Clima e Transição Energética","1001.0","53.0","54.9","52.1","57.7","50.0","51.9","52.0","51.9"
"58","391","Conflito Sistêmico #92: A Interseção IA Agêntica x Clima e Transição Energética","1001.0","53.0","54.9","52.1","57.7","50.0","51.9","52.0","51.9"
"59","398","Conflito Sistêmico #99: A Interseção IA Agêntica x Clima e Transição Energética","1001.0","53.0","54.9","52.1","57.7","50.0","51.9","52.0","51.9"
"60","452","Fatiga Insuportável do Custo de Assinaturas (Subscription Fatigue)","1001.0","53.0","52.0","53.5","55.5","51.3","57.7","50.0","50.0"
"61","231","Miopia Governamental na Ausência de ROI Direto em IAs","1000.0","52.9","55.9","52.1","53.6","51.0","53.5","52.0","50.0"
"62","35","Escassez de profissionais de saúde e cuidado","999.0","52.9","52.0","51.5","54.1","56.0","51.2","54.0","51.9"
"63","169","Colapso Mental pela Carga de Risco do ""Empreendedor de Um""","999.0","52.9","56.1","53.2","51.8","50.0","51.9","52.0","53.1"
"64","326","Conflito Sistêmico #27: A Interseção Regulação Governamental x Solopreneurs/Gig Economy","998.0","52.8","54.9","52.1","57.7","50.0","51.9","52.0","50.0"
"65","329","Conflito Sistêmico #30: A Interseção Varejo e GLP-1 x Infraestrutura Física Urbana","998.0","52.8","54.9","52.1","57.7","50.0","51.9","52.0","50.0"
"66","333","Conflito Sistêmico #34: A Interseção Regulação Governamental x Solopreneurs/Gig Economy","998.0","52.8","54.9","52.1","57.7","50.0","51.9","52.0","50.0"
"67","336","Conflito Sistêmico #37: A Interseção Varejo e GLP-1 x Infraestrutura Física Urbana","998.0","52.8","54.9","52.1","57.7","50.0","51.9","52.0","50.0"
"68","340","Conflito Sistêmico #41: A Interseção Regulação Governamental x Solopreneurs/Gig Economy","998.0","52.8","54.9","52.1","57.7","50.0","51.9","52.0","50.0"
"69","343","Conflito Sistêmico #44: A Interseção Varejo e GLP-1 x Infraestrutura Física Urbana","998.0","52.8","54.9","52.1","57.7","50.0","51.9","52.0","50.0"
"70","347","Conflito Sistêmico #48: A Interseção Regulação Governamental x Solopreneurs/Gig Economy","998.0","52.8","54.9","52.1","57.7","50.0","51.9","52.0","50.0"
"71","350","Conflito Sistêmico #51: A Interseção Varejo e GLP-1 x Infraestrutura Física Urbana","998.0","52.8","54.9","52.1","57.7","50.0","51.9","52.0","50.0"
"72","354","Conflito Sistêmico #55: A Interseção Regulação Governamental x Solopreneurs/Gig Economy","998.0","52.8","54.9","52.1","57.7","50.0","51.9","52.0","50.0"
"73","357","Conflito Sistêmico #58: A Interseção Varejo e GLP-1 x Infraestrutura Física Urbana","998.0","52.8","54.9","52.1","57.7","50.0","51.9","52.0","50.0"
"74","361","Conflito Sistêmico #62: A Interseção Regulação Governamental x Solopreneurs/Gig Economy","998.0","52.8","54.9","52.1","57.7","50.0","51.9","52.0","50.0"
"75","364","Conflito Sistêmico #65: A Interseção Varejo e GLP-1 x Infraestrutura Física Urbana","998.0","52.8","54.9","52.1","57.7","50.0","51.9","52.0","50.0"
"76","368","Conflito Sistêmico #69: A Interseção Regulação Governamental x Solopreneurs/Gig Economy","998.0","52.8","54.9","52.1","57.7","50.0","51.9","52.0","50.0"
"77","371","Conflito Sistêmico #72: A Interseção Varejo e GLP-1 x Infraestrutura Física Urbana","998.0","52.8","54.9","52.1","57.7","50.0","51.9","52.0","50.0"
"78","375","Conflito Sistêmico #76: A Interseção Regulação Governamental x Solopreneurs/Gig Economy","998.0","52.8","54.9","52.1","57.7","50.0","51.9","52.0","50.0"
"79","378","Conflito Sistêmico #79: A Interseção Varejo e GLP-1 x Infraestrutura Física Urbana","998.0","52.8","54.9","52.1","57.7","50.0","51.9","52.0","50.0"
"80","382","Conflito Sistêmico #83: A Interseção Regulação Governamental x Solopreneurs/Gig Economy","998.0","52.8","54.9","52.1","57.7","50.0","51.9","52.0","50.0"
"81","385","Conflito Sistêmico #86: A Interseção Varejo e GLP-1 x Infraestrutura Física Urbana","998.0","52.8","54.9","52.1","57.7","50.0","51.9","52.0","50.0"
"82","389","Conflito Sistêmico #90: A Interseção Regulação Governamental x Solopreneurs/Gig Economy","998.0","52.8","54.9","52.1","57.7","50.0","51.9","52.0","50.0"
"83","392","Conflito Sistêmico #93: A Interseção Varejo e GLP-1 x Infraestrutura Física Urbana","998.0","52.8","54.9","52.1","57.7","50.0","51.9","52.0","50.0"
"84","396","Conflito Sistêmico #97: A Interseção Regulação Governamental x Solopreneurs/Gig Economy","998.0","52.8","54.9","52.1","57.7","50.0","51.9","52.0","50.0"
"85","399","Conflito Sistêmico #100: A Interseção Varejo e GLP-1 x Infraestrutura Física Urbana","998.0","52.8","54.9","52.1","57.7","50.0","51.9","52.0","50.0"
"86","220","Nomadismo Digital Destruindo Cidades Secundárias","997.0","52.8","52.2","56.8","55.5","50.0","50.0","54.0","50.0"
"87","282","Ameaça Mortal No Rompimento da Governança Exclusiva de IA Corporativa Nos Órgãos do Governo","997.0","52.8","54.1","53.5","51.8","54.0","51.2","52.0","50.0"
"88","170","Esvaziamento Econômico dos Centros Empresariais pela Adoção de Agentes","996.0","52.7","53.9","53.5","53.6","51.7","53.8","50.0","50.0"
"89","189","A Nova ""Taxação"" Privada Pelo Oligopólio dos Modelos Fundacionais","996.0","52.7","50.7","55.3","53.6","50.0","51.9","53.5","56.2"
"90","208","Viés Etarista Massivo nas IAs de Recrutamento Corporativo","996.0","52.7","50.7","60.6","53.6","50.0","51.9","52.0","46.9"
"91","290","A Evasão Silenciosa Das Profissões De Reparo Civil (""Tradesmen Burnout"")","996.0","52.7","50.7","55.6","55.5","51.0","53.8","52.0","50.0"
"92","65","Saturação de atenção e fadiga de telas","995.0","52.6","52.2","56.2","53.6","51.7","51.2","52.0","50.0"
"93","202","Diplomacia Hídrica e o Vácuo de Resolução de Bacias Transfronteiriças","995.0","52.6","51.7","52.6","53.6","53.3","50.0","56.0","52.5"
"94","482","Colapso Sistêmico da Mobilidade Baseada No Carro Privado e O Gargalo Do Transporte Público","995.0","52.6","54.1","55.0","53.6","50.0","50.0","52.0","52.5"
"95","6","Dependência de minerais críticos com alto impacto socioambiental","994.0","52.6","52.0","54.4","51.8","51.7","52.3","54.0","51.9"
"96","315","A Epidemia de Sub-Notificação do Burnout na Economia 'Pejotizada'","994.0","52.6","56.8","50.9","53.6","51.0","50.0","52.0","51.9"
"97","320","Conflito Sistêmico #21: A Interseção Economia Prateada x Friendshoring/Cadeias Glogais","994.0","52.6","54.9","52.1","57.7","50.0","51.9","52.0","47.5"
"98","327","Conflito Sistêmico #28: A Interseção Economia Prateada x Friendshoring/Cadeias Glogais","994.0","52.6","54.9","52.1","57.7","50.0","51.9","52.0","47.5"
"99","334","Conflito Sistêmico #35: A Interseção Economia Prateada x Friendshoring/Cadeias Glogais","994.0","52.6","54.9","52.1","57.7","50.0","51.9","52.0","47.5"
"100","341","Conflito Sistêmico #42: A Interseção Economia Prateada x Friendshoring/Cadeias Glogais","994.0","52.6","54.9","52.1","57.7","50.0","51.9","52.0","47.5"
"101","348","Conflito Sistêmico #49: A Interseção Economia Prateada x Friendshoring/Cadeias Glogais","994.0","52.6","54.9","52.1","57.7","50.0","51.9","52.0","47.5"
"102","355","Conflito Sistêmico #56: A Interseção Economia Prateada x Friendshoring/Cadeias Glogais","994.0","52.6","54.9","52.1","57.7","50.0","51.9","52.0","47.5"
"103","362","Conflito Sistêmico #63: A Interseção Economia Prateada x Friendshoring/Cadeias Glogais","994.0","52.6","54.9","52.1","57.7","50.0","51.9","52.0","47.5"
"104","369","Conflito Sistêmico #70: A Interseção Economia Prateada x Friendshoring/Cadeias Glogais","994.0","52.6","54.9","52.1","57.7","50.0","51.9","52.0","47.5"
"105","376","Conflito Sistêmico #77: A Interseção Economia Prateada x Friendshoring/Cadeias Glogais","994.0","52.6","54.9","52.1","57.7","50.0","51.9","52.0","47.5"
"106","383","Conflito Sistêmico #84: A Interseção Economia Prateada x Friendshoring/Cadeias Glogais","994.0","52.6","54.9","52.1","57.7","50.0","51.9","52.0","47.5"
"107","390","Conflito Sistêmico #91: A Interseção Economia Prateada x Friendshoring/Cadeias Glogais","994.0","52.6","54.9","52.1","57.7","50.0","51.9","52.0","47.5"
"108","397","Conflito Sistêmico #98: A Interseção Economia Prateada x Friendshoring/Cadeias Glogais","994.0","52.6","54.9","52.1","57.7","50.0","51.9","52.0","47.5"
"109","430","Falta Estrutural de Profissionais de Cuidados","994.0","52.6","52.0","50.9","57.7","53.7","51.2","52.0","51.9"
"110","434","Colapso Atuarial das Previdências em Mercados Letárgicos","994.0","52.6","55.4","56.8","51.8","50.0","50.0","50.0","50.0"
"111","75","Erosão da privacidade em ecossistemas de dados onipresentes","993.0","52.5","52.4","55.3","51.8","51.0","51.9","54.0","50.0"
"112","81","Dependência de ecossistemas fechados por parte de governos e empresas","993.0","52.5","52.4","54.4","51.8","51.3","53.1","52.0","51.9"
"113","159","Corridas Bancárias Engatilhadas por Desinformação Algorítmica (Deepfakes)","993.0","52.5","53.4","54.4","53.6","51.3","51.2","52.0","50.0"
"114","312","A Invasão das Câmeras 'Burras' no Varejo e o Assédio Moral Algorítmico","993.0","52.5","51.0","56.5","54.1","51.7","50.0","54.0","50.0"
"115","19","Tensão social em torno do custo da transição energética","992.0","52.5","53.4","51.5","53.6","50.0","55.0","52.0","51.9"
"116","30","Rede de cuidados insuficiente para uma sociedade que envelhece","992.0","52.5","50.7","52.4","51.8","55.0","51.2","54.0","53.8"
"117","219","O Custo Oculto da Terceirização da Saúde Mental Corporativa","992.0","52.5","54.9","51.8","53.6","50.0","53.1","52.0","50.6"
"118","294","A Exclusão Silenciosa Das Minorias Nos Testes Algorítmicos Dos Painéis Faciais Globais E Os Modelos Estritos Que Ditam Erros Perigosos na Saúde Das Câmeras Diagnósticas Da Rede Da Biometria Médica (Oximetria em Pele).","992.0","52.5","54.6","51.5","51.8","52.7","50.0","54.0","51.9"
"119","403","Custo Social Insustentável da Descarbonização","992.0","52.5","51.2","53.5","53.6","51.3","51.5","54.0","53.8"
"120","445","Micro-gerenciamento Algorítmico nas Empresas","992.0","52.5","53.4","54.1","53.6","52.0","51.9","50.0","50.0"
"121","56","Normalização do crédito para despesas básicas","991.0","52.4","53.4","51.5","54.1","52.3","53.1","50.0","51.9"
"122","95","Educação desatualizada para um mundo de IA e clima extremo","991.0","52.4","54.9","51.5","51.8","52.3","51.2","52.0","51.9"
"123","217","A Bolha Econômica da Inflação de Credenciais Educacionais","991.0","52.4","52.2","51.5","55.9","52.7","50.0","54.0","51.9"
"124","227","Falsificações Audiovisuais (Deepfakes) Destruindo o Sistema Probatorio Judicial","991.0","52.4","53.9","50.9","54.1","53.7","51.2","52.0","50.0"
"125","277","Estagnação Arquitetônica Global Nos Condomínios Residenciais Em Escala","991.0","52.4","52.2","53.5","53.6","52.7","53.5","50.0","50.0"
"126","493","O Insucesso do Retorno ao Estudo para Trabalhadores Pós-45 Anos (Reskilling)","991.0","52.4","50.0","57.6","53.6","51.7","51.2","52.0","50.0"
"127","494","O Colapso Da Governança Sistêmica Nos Modelos Multilaterais","991.0","52.4","54.1","52.1","55.9","50.0","51.2","51.5","51.9"
"128","495","Competição Sangrenta Entre Orçamento de Sobrevivência E A Longa Adaptação Climática","991.0","52.4","52.2","54.4","55.9","50.0","53.5","50.0","50.0"
"129","24","Desigualdade de acesso a tecnologias de adaptação no campo","990.0","52.4","53.2","52.4","51.8","54.0","51.2","51.0","51.9"
"130","125","A Crise do Guarda-Roupa Descartado Pós-Emagrecimento","990.0","52.4","54.1","54.7","53.6","50.0","50.0","52.0","50.0"
"131","129","Assimetria em Seguros Corporativos e o ""Outcomes-as-a-Service""","990.0","52.4","52.7","50.9","53.6","53.3","53.8","50.0","51.9"
"132","216","O Colapso do Onboarding de Cultura para Juniores","990.0","52.4","54.1","52.1","51.8","50.0","53.8","53.5","50.0"
"133","402","Risco Vital em Hospitais por Falhas de Energia","990.0","52.4","52.0","55.3","53.6","51.3","51.2","52.0","50.0"
"134","457","Transição Falha de Varejistas Tradicionais para Interface de IAs","990.0","52.4","52.4","50.0","51.8","51.0","55.8","54.0","53.1"
"135","460","A Lenta Adequação do Portfólio Alimentar ao Novo Perfil Metabólico","990.0","52.4","51.5","52.4","51.8","53.7","51.2","54.0","53.1"
"136","180","Crédito Punitivo Bloqueando Imigrantes e Profissionais Livres","989.0","52.3","52.0","54.4","51.8","51.3","50.0","52.0","55.6"
"137","228","E-Waste Massivo Derivado do Fim dos Dispositivos sem IA Integrada","989.0","52.3","51.2","55.3","54.1","50.0","50.0","53.5","53.1"
"138","236","O Vácuo Biológico do Fim da Disponibilidade de Primatas para Testes","989.0","52.3","51.7","53.5","55.5","51.7","50.0","54.0","50.0"
"139","283","Sobrecarga Punitiva Tributária e Logística da ""Devolução Friccional"" do Social Commerce D2C","989.0","52.3","53.7","52.9","53.6","50.0","50.0","52.0","54.4"
"140","400","Colapso de Redes Elétricas por Estresse Climático","989.0","52.3","54.1","50.9","51.8","52.7","51.2","52.0","53.1"
"141","415","Isolamento Industrial de Países Intermediários","989.0","52.3","52.2","54.1","54.1","51.3","51.5","52.0","50.0"
"142","163","A Obsolescência Silenciosa do Software Legado Empresarial (""Boring Tech"")","988.0","52.3","52.4","55.0","51.8","51.0","51.9","52.0","50.0"
"143","198","Crise Sistêmica de Propósito Pessoal Face à Ultra-Abundância Sintética","988.0","52.3","52.2","51.5","57.7","51.3","50.0","54.0","50.0"
"144","291","Riscos Iminentes Da Obscuridade Dos Contratos Médicos B2C e Procedimentos Sem Repasses Reais Burocráticos Extensos","988.0","52.3","54.9","50.9","54.1","51.3","50.0","52.0","51.9"
"145","496","A Balcanização Profunda Dos Protocolos Da Internet Em Blocos Hostis","988.0","52.3","52.9","50.9","55.9","50.0","51.9","50.0","56.2"
"146","9","Conflitos entre mineração e segurança hídrica regional","987.0","52.2","56.1","52.4","50.0","50.0","51.2","50.0","53.8"
"147","287","Redundância Desgastante Nas Cargas Fiscais De Emissões Diretas De Gases Fósseis","987.0","52.2","52.9","50.9","54.1","53.0","50.0","52.0","53.1"
"148","297","Fadiga de Adaptação Tecnológica na Média Gestão Industrial (Change Management Paralysis)","987.0","52.2","52.0","54.1","51.8","52.3","51.9","52.0","50.0"
"149","323","Biopirataria Algorítmica da Fauna Sul-Americana pelas Big Pharmas","987.0","52.2","51.5","53.5","53.6","53.0","51.2","52.0","50.0"
"150","39","Desalinhamento entre formação profissional e lacunas reais","986.0","52.2","54.4","51.5","50.0","51.0","50.0","52.0","56.9"
"151","137","Apocalipse dos Shoppings Centers Tradicionais (Malls)","986.0","52.2","50.0","57.6","53.6","51.0","50.0","52.0","50.0"
"152","162","A Fricção Regulatória das Stablecoins no Gig Economy Global","986.0","52.2","51.7","55.0","55.5","50.0","51.9","50.0","50.0"
