"Ranking","ID","Problema","Pontuação Total","Percentual (%)","A Natureza da Dor e o Comportamento (%)","Tamanho de Mercado e Potencial de Escala (%)","Timing e Why Now (%)","Validação e Execução Lean (%)","Monetização e Viabilidade de Negócio (%)","Defensibilidade e Competição (%)","Riscos Fatais (Red Flags) (%)"
"324","40","Choque de valores entre Geração Z e modelos de gestão tradicionais","968.0","51.2","51.7","51.5","50.0","51.0","51.9","50.0","51.9"
"325","43","Precarização disfarçada sob a bandeira da flexibilidade","968.0","51.2","52.2","50.0","53.6","50.0","50.0","50.0","53.8"
"326","79","Dificuldade de cidadãos exercerem seus direitos de dados","968.0","51.2","52.7","50.0","52.3","51.0","50.0","52.0","50.0"
"327","90","Insuficiência de governança global para crises de escassez","968.0","51.2","51.0","52.6","51.8","51.3","50.0","50.0","51.2"
"328","151","Droneificação Assimétrica do Crime e Conflitos Urbanos","968.0","51.2","51.7","50.0","51.8","51.0","51.9","52.0","50.0"
"329","161","Multiplicação Insana de ""Tarefas Fantasmas"" nas Corporações","968.0","51.2","51.2","50.9","51.8","52.3","50.0","52.0","50.0"
"330","179","Destruição do Asfalto pelas Frotas Elétricas Pesadas","968.0","51.2","52.0","50.9","54.1","50.0","50.0","51.5","50.0"
"331","233","Desequilíbrio Hormonal e Quebras de Período Fértil Devido à Perda de Peso Radicais","968.0","51.2","52.2","51.5","54.1","50.0","50.0","50.0","50.0"
"332","249","Fadiga Brutal da Empatia Decorrente do Ciclo de Notícias Hiper-Conectadas","968.0","51.2","51.0","52.1","51.8","50.0","50.0","50.0","55.0"
"333","440","Ansiedade de Obsolescência Frente à IA Agêntica","968.0","51.2","51.2","52.6","54.1","50.0","50.0","50.0","50.0"
"334","58","Ausência de redes formais de proteção em crises de dívida","967.0","51.2","52.9","50.0","51.8","50.0","50.0","53.0","50.0"
"335","156","Risco de Hackeamento Físico do Suprimento Municipal de Água","967.0","51.2","52.2","50.3","51.8","51.3","50.0","52.0","50.0"
"336","176","Perda Incalculável por Vazamentos Subterrâneos em Redes Urbanas","967.0","51.2","52.4","50.0","53.6","50.0","50.0","52.0","50.0"
"337","229","Exaustão Trauma Secundário em Treinadores Humanos de Modelos de IA","967.0","51.2","52.7","52.1","51.8","50.0","50.0","50.0","50.0"
"338","234","Patologização do Luto e Emoções Humanas Naturais","967.0","51.2","52.9","50.0","51.8","50.0","51.2","50.0","51.9"
"339","271","Subdesenvolvimento e Inanição Da Estrutura Periférica Universitaria","967.0","51.2","50.7","51.5","51.8","51.7","51.9","50.0","50.0"
"340","285","Descolamento da Validação Científica dos Painéis Biométricos","967.0","51.2","50.7","50.9","51.8","53.0","50.0","50.0","51.9"
"341","428","Dependência Tóxica de Subsídios Estatais na Agricultura","967.0","51.2","51.0","50.0","51.8","51.3","50.0","52.0","53.8"
"342","433","Exclusão Digital e Isolamento Bancário do Idoso","967.0","51.2","52.2","52.9","53.6","50.0","50.0","50.0","46.9"
"343","459","Segregação no Acesso a Protocolos Avançados de Longevidade","967.0","51.2","51.0","51.8","51.8","51.7","50.0","50.0","51.9"
"344","4","Segurança hídrica de comunidades rurais vulneráveis","966.0","51.1","50.7","50.0","51.8","51.7","51.2","55.0","47.5"
"345","25","Subseguro climático estrutural em agricultura","966.0","51.1","52.2","50.0","50.0","50.0","53.5","50.0","51.9"
"346","27","Baixa penetração de seguros paramétricos inovadores","966.0","51.1","52.0","50.0","50.0","50.0","51.9","51.5","53.1"
"347","86","Uso ofensivo de IA em ataques e fraudes","966.0","51.1","50.0","53.5","54.1","50.0","50.0","50.0","50.0"
"348","109","Hegemonia de LLMs Anglocêntricos Esmagando Culturas Locais","966.0","51.1","51.2","53.5","51.8","50.0","50.0","50.0","50.0"
"349","144","Retraimento Social Acelerado pela Perda Auditiva","966.0","51.1","51.2","51.5","51.8","51.3","50.0","50.0","51.9"
"350","168","Falha Total na Garantia de Qualidade de Códigos Sintéticos","966.0","51.1","52.0","51.2","51.8","50.0","50.0","50.0","53.1"
"351","243","A Crise Sistêmica no Investimento Esportivo Local por Polarização do Niche-Market","966.0","51.1","51.0","50.9","53.6","50.0","51.5","51.0","50.0"
"352","265","Invasão Sistêmica de Fauna Migrante e Raiva Zoonótica em Grandes Cidades","966.0","51.1","52.0","50.0","51.8","51.3","50.0","50.0","53.1"
"353","409","Tensões Sociais no Enterramento de Redes Urbanas","966.0","51.1","52.2","50.0","53.6","50.0","50.0","52.0","50.0"
"354","422","Exclusão Tecnológica do Pequeno Produtor Agrícola","966.0","51.1","52.0","52.6","53.6","50.0","50.0","50.0","47.5"
"355","426","Guerra Física por Alocação de Água","966.0","51.1","50.7","52.9","51.8","50.0","50.0","52.0","50.0"
"356","439","Deficiência na Segurança da Mobilidade Urbana Prateada","966.0","51.1","50.0","50.9","51.8","52.7","51.2","52.0","49.4"
"357","481","Mortalidade Urbana Acirrada Pelo Paradoxo das Ilhas de Calor","966.0","51.1","51.2","50.0","51.8","50.0","50.0","53.5","53.1"
"358","491","O Vácuo no Preparo Emocional e Resiliência Para Um Mundo Volátil","966.0","51.1","52.2","50.0","53.6","50.0","50.0","52.0","50.0"
"359","10","Ausência de cadeias circulares para metais estratégicos","965.0","51.1","54.1","48.8","52.3","51.0","51.2","50.0","47.5"
"360","44","Falta de trilhas de requalificação ancoradas em resultados","965.0","51.1","51.5","50.0","50.0","53.0","51.9","50.0","50.0"
"361","53","Transporte público saturado e pouco confiável","965.0","51.1","52.4","50.9","50.0","50.0","50.0","52.0","51.9"
"362","105","Extinção do Trabalho Júnior e o Apagão de Seniores do Futuro","965.0","51.1","51.5","50.0","51.8","50.0","53.8","50.0","50.0"
"363","124","Toxicidade Financeira Vitalícia de Prescrições de Bem-Estar","965.0","51.1","51.0","50.0","51.8","50.0","54.6","50.0","50.0"
"364","174","O Pesadelo da ""Logística dos Últimos 50 Metros""","965.0","51.1","53.2","49.4","51.8","50.0","50.0","50.0","53.1"
"365","225","O Apagamento Silencioso de Dialetos e Nuances Linguísticas Locais","965.0","51.1","51.0","50.0","54.1","50.0","50.0","53.5","50.0"
"366","253","A Quebra de Margem na Rotação Diária de Painéis e Telhados Solares","965.0","51.1","51.2","52.1","53.6","50.0","50.0","50.0","50.0"
"367","301","O Choque entre Agentes de IA e o Labirinto do Licenciamento Ambiental","965.0","51.1","52.0","50.0","54.1","50.0","50.0","50.0","51.9"
"368","319","Insegurança Sistêmica de Infraestrutura de Roteadores Baratos em Casas Inteligentes","965.0","51.1","52.0","50.3","54.1","51.0","50.0","52.0","46.9"
"369","401","Competição Predatória entre Data Centers de IA e Cidades","965.0","51.1","50.0","52.4","51.8","51.3","50.0","52.0","50.0"
"370","474","Caixa Preta das Decisões Algorítmicas na Saúde e na Justiça","965.0","51.1","50.0","52.6","51.8","50.0","50.0","50.0","54.4"
"371","477","Mercantilização Sub-reptícia de Dados Biométricos de Micro-interação","965.0","51.1","52.7","49.4","51.8","51.0","50.0","52.0","50.0"
"372","480","Proliferação Explosiva de Assentamentos em Áreas Mapeadas de Risco Climático","965.0","51.1","51.0","50.0","51.8","51.7","51.2","52.0","50.0"
"373","488","Fricção Mortífera Entre O Tombamento Patrimonial E O Risco Climático de Adaptação","965.0","51.1","52.0","50.9","54.1","50.0","50.0","50.0","50.0"
"374","31","Inadequeção de moradias e cidades para longevidade ativa","964.0","51.0","50.0","52.4","50.0","51.7","50.0","50.0","53.8"
"375","100","Clonagem Sintética de Voz e Fraudes Familiares","964.0","51.0","52.7","50.0","51.8","50.0","50.0","52.0","50.0"
"376","127","Medicalização Precoce da Obesidade Pediátrica","964.0","51.0","50.0","52.1","51.8","51.3","50.0","52.0","50.0"
"377","128","Gargalo Extremo em Cirurgias Plásticas Reparadoras","964.0","51.0","51.2","50.9","53.6","50.0","50.0","50.0","51.9"
"378","148","Barreiras Tributárias à Aposentadoria Parcial","964.0","51.0","51.0","51.8","54.1","50.0","50.0","50.0","50.0"
"379","195","Isolamento, Câmaras de Eco e a Radicalização da Geração Jovem","964.0","51.0","51.0","50.0","51.8","51.3","50.0","52.0","51.9"
"380","232","Ameaça de Bio-Segurança no Descarte de Canetas GLP-1","964.0","51.0","52.2","49.4","51.8","50.0","50.0","52.0","52.5"
"381","262","Vazamento Estrutural e Constante de HFCs em Refrigeração Corporativa","964.0","51.0","53.4","49.4","51.8","50.0","51.2","50.0","50.0"
"382","476","Fratura Cultural Extrema Pela Ausência de Um Espaço Comum","964.0","51.0","50.0","52.1","51.8","50.0","50.0","52.0","52.5"
"383","478","Incapacidade Absoluta das PMEs contra o Ataque Cibernético da Nova Era","964.0","51.0","50.0","52.1","51.8","51.3","51.5","50.0","50.0"
"384","12","Exclusão de países não alinhados das novas cadeias de valor","963.0","51.0","52.2","49.4","53.6","51.0","51.5","50.0","47.5"
"385","61","Redesenho do mercado de alimentos sem inclusão dos mais pobres","963.0","51.0","50.7","52.4","50.0","50.0","50.0","52.0","51.9"
"386","111","O Tsunami do Descarte de Painéis Solares","963.0","51.0","53.4","50.0","51.8","50.0","50.0","50.0","50.0"
"387","143","A Transição da Menopausa como Ponto Cego Corporativo","963.0","51.0","50.7","50.3","51.8","50.0","53.8","50.0","50.0"
"388","212","Barreiras de Sotaque e Afasia nas Interfaces de Voz","963.0","51.0","51.7","50.0","51.8","51.0","50.0","52.0","50.0"
"389","221","A Frustração Geração Z com Estruturas Corporativas Achatadas","963.0","51.0","51.5","50.9","51.8","50.0","51.9","50.0","50.0"
"390","288","Sufocamento das Associações Recreativas Desportivas nos Subúrbios Metropolitanos","963.0","51.0","50.0","50.9","51.8","51.3","51.2","52.0","50.0"
"391","289","Inabilidade Logística da Retirada e Limpeza De Redes Oceânicas De Plástico Fantasma","963.0","51.0","50.0","51.5","51.8","50.0","51.9","52.0","50.0"
"392","292","Sustentabilidade Zero Nos Polos Gastronômicos Urbanos ""Fantasma"" e Cozinhas Cloud Irregulamentares Exaustivas da Fritura Logística Acelerada.","963.0","51.0","50.0","50.9","53.6","50.0","51.2","52.0","50.0"
"393","498","A Corrida Agressiva Pela Extrativismo Comercial e Militar no Espaço Sideral","963.0","51.0","51.2","50.0","53.6","50.0","50.0","50.0","53.1"
"394","22","Descompasso entre zoneamento de risco climático e crédito rural","962.0","50.9","53.2","50.0","50.0","50.0","50.0","50.0","52.5"
"395","36","Baixa atratividade das carreiras de cuidado para jovens","962.0","50.9","50.7","50.0","51.8","51.3","50.0","50.0","53.8"
"396","46","Capacidade limitada de integração de migrantes em cidades","962.0","50.9","51.0","50.0","50.0","51.3","50.0","53.0","51.9"
"397","52","Degradação de infraestrutura urbana em bairros populares","962.0","50.9","50.7","50.0","50.0","51.0","51.5","52.0","51.9"
"398","123","Efeitos Colaterais Gastrointestinais Sistêmicos","962.0","50.9","52.4","50.9","51.8","50.0","50.0","50.0","50.0"
"399","135","Epidemia de Papelão e Sobrecarga de Última Milha","962.0","50.9","51.2","51.2","51.8","50.0","50.0","52.0","50.0"
"400","139","Guerras de Boicote e Consumo Identitário Radical","962.0","50.9","52.2","50.0","51.8","51.3","50.0","50.0","50.0"
"401","152","Extrema Fragilidade Estratégica dos Cabos Submarinos","962.0","50.9","50.0","51.5","51.8","51.3","50.0","52.0","50.0"
"402","167","Captura Feudal das Startups Autônomas pelas Big Techs","962.0","50.9","50.0","51.8","54.1","50.0","50.0","54.0","46.2"
"403","193","Extinção e Fuga das Disciplinas Humanísticas da Era da Prompt-Engineering","962.0","50.9","50.0","53.8","51.8","50.0","50.0","50.0","50.0"
"404","200","O Apagão dos Semicondutores Legados em Manufaturas de Base","962.0","50.9","51.5","52.1","51.8","50.0","50.0","50.0","50.0"
"405","205","Dependência Frágil das Super-Redes de Transmissão Submarinas","962.0","50.9","51.0","51.5","51.8","50.0","50.0","52.0","50.0"
"406","464","Vigilância Biológica Voluntária e Dependência de Wearables","962.0","50.9","50.7","50.0","51.8","51.0","50.0","52.0","51.9"
"407","489","Obsolescência Imediata Da Pedagogia Conteudista Frente À Inteligência Algorítmica","962.0","50.9","51.0","50.9","51.8","50.0","51.2","51.5","50.0"
"408","8","Risco de captura por potências dominantes no refino de minerais","961.0","50.8","52.9","50.6","50.0","51.0","51.2","50.0","47.5"
"409","17","Conflito entre data centers de IA e demanda residencial","961.0","50.8","50.0","52.4","50.0","51.3","50.0","52.0","50.0"
"410","29","Dependência fiscal de subsídios mal calibrados em seguro rural","961.0","50.8","51.0","50.9","50.0","51.3","50.0","50.0","53.1"
"411","136","Paralisia Analítica Perante Estoques Globais Infinitos","961.0","50.8","51.2","52.1","51.8","50.0","50.0","50.0","50.0"
"412","214","Falta de Turismo Especializado em Imersão de Baixo Impacto Físico","961.0","50.8","50.7","50.0","54.1","51.3","50.0","50.0","50.0"
"413","235","Interações Severas e Ocultas do GLP-1 com Psicotrópicos","961.0","50.8","52.0","50.0","53.6","50.0","50.0","50.0","50.0"
"414","254","A Disparidade da Triagem de Saúde em Relação ao Genoma Feminino","961.0","50.8","50.0","51.2","51.8","51.7","50.0","50.0","51.9"
"415","266","Sufocamento Produtivo Pelos Longos Ciclos de Transição de Solo Degradado","961.0","50.8","51.2","50.9","51.8","51.3","50.0","50.0","50.0"
"416","268","Dificuldades de Implementação das Cotas de Reciclagem Corporativa","961.0","50.8","51.0","48.8","54.1","51.3","51.2","50.0","50.0"
"417","448","Exploração da Mão de Obra Migrante como Ajuste Friccional","961.0","50.8","51.0","50.0","53.6","51.3","50.0","50.0","50.0"
"418","483","Degradação Galopante da Infraestrutura de Drenagem Centenária","961.0","50.8","50.0","50.9","51.8","50.0","50.0","52.0","53.1"
"419","37","Dependência de migração em países envelhecidos","960.0","50.8","50.0","50.0","51.8","50.0","50.0","54.0","51.9"
"420","67","Alienação em relação ao corpo físico","960.0","50.8","51.0","52.1","51.8","50.0","50.0","50.0","50.0"
"421","82","Asimetria de informação extrema entre desenvolvedores e sociedade","960.0","50.8","50.0","50.9","50.0","51.7","51.2","52.0","50.0"
"422","110","Redlining Climático Imobiliário","960.0","50.8","52.0","50.0","51.8","51.0","50.0","50.0","50.0"
"423","155","Vulnerabilidade Fitossanitária a Armas Biológicas Indiretas","960.0","50.8","51.0","52.1","51.8","50.0","50.0","50.0","50.0"
"424","279","Isolamento Cultural da Velhice Pela Falta de ""Lugares de Convivência Noturna"" Intergeracionais","960.0","50.8","51.0","50.0","51.8","52.7","51.2","50.0","47.5"
"425","304","Inadequação de Drones de Combate a Incêndios Florestais em Biomas Densos (Amazônia/Pantanal)","960.0","50.8","51.0","50.9","51.8","50.0","50.0","50.0","52.5"
"426","412","Concentração Geopolítica no Refino de Terras Raras","960.0","50.8","52.0","50.0","51.8","50.0","50.0","50.0","51.9"
"427","419","Nacionalismo de Recursos e Risco Jurídico","960.0","50.8","52.0","50.9","51.8","50.0","50.0","50.0","50.0"
"428","437","Ausência de Produtos Premium para a Vitalidade Prateada","960.0","50.8","50.7","50.3","53.6","50.0","51.2","50.0","50.0"
"429","455","Aprisionamento do Consumidor no Social Commerce (Lock-In)","960.0","50.8","50.0","50.0","51.8","50.0","50.0","54.0","51.9"
"430","11","Reconfiguração caótica de cadeias globais via friendshoring","959.0","50.7","52.0","50.6","50.0","50.0","51.9","50.0","49.4"
"431","41","Ansiedade de obsolescência frente à IA","959.0","50.7","51.2","50.0","52.3","50.0","51.5","50.0","50.0"
"432","68","Normalização da multitarefa permanente","959.0","50.7","52.2","50.0","52.3","50.0","50.0","50.0","50.0"
"433","84","Desigualdade de acesso à infraestrutura de computação avançada","959.0","50.7","50.0","52.1","51.8","51.0","50.0","50.0","50.0"
"434","133","Infiltração Sistêmica de Falsificações Sofisticadas","959.0","50.7","50.0","52.1","53.6","50.0","50.0","52.0","46.9"
"435","175","Ilhas de Ruído e Carga Sonora Friccional da Densificação","959.0","50.7","51.2","51.5","51.8","50.0","50.0","50.0","50.0"
"436","263","Sobrecarga dos Abrigos de Emergência Frente às Extensas Tempestades","959.0","50.7","52.2","49.4","51.8","50.0","51.2","50.0","50.0"
"437","429","Fragilidade Extrema da Logística de Safras","959.0","50.7","52.9","49.4","51.8","50.0","50.0","50.0","50.0"
"438","479","Habitação Inacessível e A Expulsão Das Classes Produtivas da Metrópole","959.0","50.7","51.0","50.3","51.8","51.7","50.0","50.0","50.0"
"439","497","O Derretimento da Legitimidade do Repasse Midiático nas Instituições Tradicionais","959.0","50.7","50.0","50.6","54.1","50.0","50.0","50.0","51.9"
"440","153","A Síndrome de Kessler e a Privatização da Órbita Baixa","958.0","50.7","50.0","50.0","54.1","51.3","50.0","52.0","47.5"
"441","154","Gargalo Estratégico de Ingredientes Farmacêuticos Ativos (APIs)","958.0","50.7","51.0","49.4","53.6","50.0","51.2","50.0","50.0"
"442","160","Divórcio Fatal Entre o ""Vibe Coding"" e o Mundo da Física Real","958.0","50.7","52.0","51.5","51.8","50.0","50.0","50.0","47.5"
"443","218","A Exaustão Psicológica da Tarefa de Revisão de Código IA","958.0","50.7","51.0","51.5","51.8","50.0","50.0","50.0","50.0"
"444","250","O ""Dating Burnout"" e a Mecanização Depressiva da Afetividade Moderna","958.0","50.7","50.0","52.6","51.8","50.0","50.0","50.0","50.0"
"445","273","Dependência Fatal do Agronegócio Nos Serviços Cloud de Precisão","958.0","50.7","50.0","51.5","51.8","51.3","50.0","50.0","50.0"
"446","414","Inexistência de Cadeias Circulares para Baterias","958.0","50.7","51.2","49.4","53.6","51.3","50.0","51.0","47.5"
"447","42","Desconfiança em relação a lideranças corporativas","957.0","50.6","51.7","50.0","50.0","50.0","51.9","50.0","50.0"
"448","47","Exploração de mão de obra migrante em setores essenciais","957.0","50.6","52.7","49.4","50.0","50.0","51.2","50.0","50.0"
"449","98","Baixa conexão entre escolas e desafios locais","957.0","50.6","50.0","50.0","50.0","51.7","51.2","52.0","50.0"
"450","114","Migração de Pragas Agrícolas por Aquecimento","957.0","50.6","50.0","50.0","51.8","50.0","50.0","54.0","50.0"
"451","126","Ameaça Odontológica por Dietas Sintéticas sem Açúcar","957.0","50.6","50.0","50.0","51.8","50.0","50.0","50.0","55.0"
"452","321","O Apagão da Energia Firme para os Grandes Data Centers no Equador Climático","957.0","50.6","50.0","52.4","51.8","50.0","50.0","50.0","50.0"
"453","427","Desertificação e Perda de Fertilidade por Extremos","957.0","50.6","52.2","50.9","51.8","50.0","50.0","50.0","47.5"
"454","466","Inflação Brutal na Cesta de Alimentos Saudáveis","957.0","50.6","50.0","50.0","53.6","51.7","51.2","50.0","47.5"
"455","486","Lentidão Desesperadora Na Readequação Climática (Retrofit) de Prédios Legados","957.0","50.6","51.0","50.0","51.8","51.3","50.0","50.0","50.0"
"456","2","Conflito entre agricultura irrigada e abastecimento urbano","956.0","50.6","50.0","52.4","50.0","50.0","50.0","50.0","51.9"
"457","196","A Ditadura Algorítmica e a Eliminação do ""Design Estranho"" (""Instagram Face/Home"")","956.0","50.6","51.0","50.9","51.8","50.0","50.0","50.0","50.0"
"458","211","Risco de Quedas Não Mapeadas em Banheiros Residenciais Legados","956.0","50.6","51.0","50.9","51.8","50.0","50.0","50.0","50.0"
"459","213","Exclusão de Moda para o Consumidor Diabético e de Baixa Mobilidade","956.0","50.6","51.7","50.0","51.8","50.0","50.0","50.0","50.0"
"460","237","A Epidemia Silenciosa de Miopia e Atrofia Foco-Ocular Pediátrica","956.0","50.6","51.2","49.4","51.8","51.3","50.0","50.0","50.0"
"461","246","Ilusão de Liquidez na Tokenização Selvagem do Setor Imobiliário","956.0","50.6","50.7","50.3","51.8","51.0","50.0","50.0","50.0"
"462","413","Conflito entre Megamineração e Segurança Hídrica","956.0","50.6","50.0","50.9","53.6","50.0","50.0","50.0","50.0"
"463","417","Inflação Estrutural de Insumos Básicos por Tarifas","956.0","50.6","50.7","50.0","53.6","50.0","50.0","50.0","50.0"
"464","463","Saturação Cognitiva e Extinção do ""Foco Profundo""","956.0","50.6","50.0","50.0","51.8","51.0","50.0","52.0","50.0"
"465","112","O Desafio Logístico das Pás Eólicas Órfãs","955.0","50.5","52.0","49.4","51.8","50.0","50.0","50.0","50.0"
"466","201","Gargalo de Rejeitos Tóxicos no Refino de Terras Raras","955.0","50.5","50.0","50.9","51.8","50.0","51.2","50.0","50.0"
"467","230","Ataques Cibernéticos Visando Sensores Analógicos da Indústria 4.0","955.0","50.5","50.7","51.2","51.8","50.0","50.0","50.0","49.4"
"468","324","Gargalo Operacional na Descarbonização da Frota Rodoviária Pesada BR","955.0","50.5","51.0","49.4","51.8","50.0","50.0","50.0","52.5"
"469","418","Obsolescência de Infraestrutura Logística Tradicional","955.0","50.5","51.0","49.4","51.8","51.3","50.0","50.0","50.0"
"470","54","Ilhas de calor urbanas e saúde pública","954.0","50.5","50.0","50.0","50.0","51.0","50.0","50.0","53.8"
"471","141","Golpes Digitais Contra as Poupanças Prateadas (Grandparent Exploitation)","954.0","50.5","50.0","50.0","51.8","51.7","50.0","50.0","50.0"
"472","49","Invisibilidade de migrantes climáticos em marcos legais","953.0","50.4","51.2","50.0","50.0","50.0","51.2","50.0","50.0"
"473","178","Iniquidade Extrema de Conforto Térmico: A Segregação pela Sombra","953.0","50.4","50.0","51.2","51.8","50.0","50.0","50.0","50.0"
"474","191","O Fim da Negociação Cívica Devido ao Aprendizado Hiper-Personalizado","953.0","50.4","51.0","50.0","51.8","50.0","50.0","50.0","50.0"
"475","275","Falta De Padronização Em Reciclagem Das Matrizes Magnéticas Friccionais","953.0","50.4","50.0","51.2","51.8","50.0","50.0","50.0","50.0"
"476","408","Vulnerabilidade Climática da Estrutura de Carregamento de EVs","953.0","50.4","51.0","50.0","51.8","50.0","50.0","50.0","50.0"
"477","5","Governança frágil de rios transfronteiriços","952.0","50.4","51.0","50.0","50.0","51.0","50.0","50.0","50.0"
"478","131","Poluição por Microplásticos do Ultra-Fast Fashion","952.0","50.4","50.0","50.0","51.8","50.0","50.0","50.0","51.9"
"479","134","Dissonância Cultural do ""Live Commerce"" no Ocidente","952.0","50.4","50.0","50.0","51.8","51.0","50.0","50.0","50.0"
"480","308","Abandono Algorítmico do Crédito Rural de Pequeno Porte (Agricultura Familiar)","952.0","50.4","50.0","50.0","51.8","50.0","51.2","50.0","50.0"
"481","487","Segregação Acelerada e O Surgimento Da ""Premiumização"" Dos Bairros Climáticos Seguros","952.0","50.4","50.0","50.9","51.8","50.0","50.0","50.0","50.0"
"482","23","Fragilidade de cadeias globais de alimentos","951.0","50.3","50.0","50.9","51.8","50.0","50.0","50.0","49.4"
"483","92","Dificuldade de financiar transição justa em países de baixa renda","951.0","50.3","51.0","50.6","50.0","50.0","50.0","50.0","50.0"
"484","96","Desigualdade de acesso a alfabetização em IA","951.0","50.3","50.0","51.8","50.0","50.0","50.0","50.0","50.0"
"485","97","Falta de preparação emocional para incerteza permanente","951.0","50.3","51.2","50.3","50.0","50.0","50.0","50.0","50.0"
"486","310","Fadiga das Doações Pós-Catástrofes Climáticas Cíclicas","951.0","50.3","51.0","49.4","51.8","50.0","50.0","50.0","50.0"
"487","60","Desigualdade de acesso a soluções avançadas de bem-estar","950.0","50.3","50.7","50.9","50.0","50.0","50.0","50.0","49.4"
"488","406","Escassez Crítica de Transformadores e Componentes","950.0","50.3","50.0","50.0","51.8","50.0","50.0","50.0","50.6"
"489","89","Baixa coordenação internacional em incidentes cibernéticos","949.0","50.2","50.0","51.2","50.0","50.0","50.0","50.0","50.0"
"490","91","Risco de conflitos por recursos em regiões frágeis","949.0","50.2","51.0","50.0","50.0","50.0","50.0","50.0","50.0"
"491","94","Fragmentação de iniciativas de cooperação sobre escassez","949.0","50.2","51.0","50.0","50.0","50.0","50.0","50.0","50.0"
"492","118","Evaporação Severa e Assoreamento em Reservatórios Hídricos","949.0","50.2","50.0","50.0","51.8","50.0","50.0","50.0","50.0"
"493","122","Transferência de Compulsões e Vícios na Era GLP-1","949.0","50.2","50.0","50.0","51.8","50.0","50.0","50.0","50.0"
"494","203","Vulnerabilidade Geopolítica dos Chokepoints Marítimos","949.0","50.2","50.0","51.2","51.8","50.0","50.0","50.0","47.5"
"495","117","Inviabilidade do Trabalho Braçal Diurno no Campo","947.0","50.1","50.0","49.4","51.8","50.0","50.0","50.0","50.0"
"496","119","Whiplash Logístico de Materiais Pós-Catástrofe","947.0","50.1","51.0","49.4","51.8","50.0","50.0","50.0","47.5"
"497","99","Ausência de pontes estruturadas entre educação e requalificação contínua","945.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0"
"498","150","Espionagem Oculta em Dispositivos IoT de Consumo","945.0","50.0","50.0","50.3","51.8","50.0","50.0","50.0","46.9"
